#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2021-12-28 00:00:00
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status time-taken
2021-12-28 00:00:00 133.242.13.171 GET / - 80 - 70.34.218.218 Opera/9.80+(Windows+NT+6.1;+U;+pl)+Presto/2.7.62+Version/11.00 200 0 0 748
2021-12-28 00:03:37 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=18300575&y=-16526383 80 - 185.191.171.35 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 343
2021-12-28 00:03:44 133.242.13.171 GET /bunkazai/img/photo/杣谷堰堤.jpg X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=4801c3c5-d0c8-4c38-9e0c-200a1e9924ee 80 - 133.242.13.171 - 404 0 0 0
2021-12-28 00:03:44 133.242.13.171 GET /bunkazai/syousai.php no=100&X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=11b7febd-ce50-4d52-b6ed-46fcb0856195 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 202
2021-12-28 00:03:46 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=4681375&y=-17404183 80 - 185.191.171.20 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:03:55 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=9160575&y=-12730783 80 - 185.191.171.2 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:03:57 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=13190575&y=-15954783 80 - 185.191.171.40 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:04:00 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=3989775&y=-18361783 80 - 185.191.171.40 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 390
2021-12-28 00:04:10 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=9362975&y=-10514783 80 - 185.191.171.26 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:04:17 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=10200575&y=-14446783 80 - 185.191.171.23 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:04:25 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=17236575&y=-14371783 80 - 185.191.171.24 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
